,EUA FUTURES - EUA - DEC25,,,UKA FUTURES - UKA - DEC25,,,CCA FUTURES - CCA V25 - DEC25,,,CCA FUTURES - CCA V26 - DEC26,,,EUA DAILY FUTURES - EUA DAILY - FUTURES TODAY,,UKA DAILY FUTURES - UKA DAILY - FUTURES TODAY,
45937,,,,,,,,,,,,,,,,
45936,78.75,,0,56.54,,0,32.3,2042,0,34.05,1188,0,78.4,,56.04,
45933,79.16,33990,361436,57.02,1866,64864,32.13,2889,161267,33.86,1280,82053,78.79,1674,56.5,10
45932,77.43,31991,360295,56.3,3414,64940,31.9,4171,161723,33.62,694,81328,77.06,2041,55.79,65
45931,76.33,33967,358983,54.42,5155,64479,31.37,3987,161444,33.08,1884,81174,75.96,1526,53.89,1177
45930,75.72,24553,360319,54.06,1984,64111,31.09,3065,162162,32.81,1097,80256,75.35,611,53.58,126
45929,76.79,27910,359076,55.36,1888,64064,30.98,5217,161908,32.7,3106,79671,76.4,1713,54.86,135
45926,75.98,20192,355873,54.3,4701,64058,31.18,1408,161737,32.91,675,76881,75.59,1743,53.8,576
45925,75.76,25387,353056,56.08,1618,64166,31.13,5178,162082,32.88,836,76404,75.36,1313,55.5,94
45924,76.02,22107,354700,56.84,1525,64052,31.24,3062,163071,32.98,1360,76018,75.61,4190,56.27,1001
45923,76.79,25554,357172,57.01,1494,64194,31.27,3726,163816,33.02,1317,75163,76.37,2267,56.43,90
45922,76.21,27291,355535,56.49,1600,64182,31.26,5273,164683,33.01,992,75262,75.78,3576,55.95,363
45919,77.55,18696,353508,57.6,2265,64139,31.39,6728,163048,33.14,911,74829,77.11,1838,56.96,1048
45918,77.84,26382,352301,58.19,1238,63609,31.32,3764,164454,33.07,1052,74463,77.39,4865,57.54,34
45917,76.98,31125,351066,57.38,3358,63428,31.09,4265,164658,32.82,2002,74050,76.52,1460,56.73,1432
45916,77.51,32480,352111,57.47,1255,62494,31.97,5616,164975,33.76,1000,72450,77.05,1507,56.82,54
45915,76.75,29113,353026,56.79,991,62587,32.47,7971,164662,34.33,737,71820,76.29,1456,56.15,18
45912,75.77,21584,351133,56.11,1074,62356,31.81,5572,165245,33.63,1270,71497,75.3,1938,55.46,2
45911,75.54,34837,349117,55.99,2811,62561,31.34,7693,166649,33.12,4585,71125,75.06,3236,55.34,27
45910,77.1,25229,348331,57.35,1963,62482,30.66,13154,168314,32.39,3227,70693,76.61,1867,56.66,322
45909,76.9,31664,346299,57.3,3506,62332,28.6,9914,169480,30.26,3810,70136,76.39,2441,56.6,839
45908,77.17,28614,344793,57.1,1827,61848,28.78,7906,170861,30.44,4804,67939,76.66,1823,56.4,151
45905,76.04,27459,343314,56.12,1507,62062,28.71,4582,173113,30.36,715,66819,75.52,959,55.41,40
45904,75.44,27448,343492,55.73,1849,62128,29.04,3446,173007,30.76,79,66743,74.91,1789,55.03,2
45903,74.95,28898,342971,54.64,2791,62109,29.26,4169,173459,30.99,325,66696,74.42,1910,53.96,1428
45902,73.61,28081,344044,53.95,1618,61477,29.36,3364,172945,31.11,419,66421,73.08,4082,53.25,39
45901,73.97,32664,345801,54.25,1554,61381,29.5,129,174038,31.26,0,66129,73.44,1823,53.55,28
45898,72.99,23413,342992,53.14,1456,61267,29.5,4142,173981,31.26,2340,66129,72.46,2644,52.44,3
45897,71.72,24616,340721,51.62,1676,61202,29.43,3437,173844,31.18,782,65975,71.19,1852,50.94,67
45896,72.24,19034,339452,51.86,1711,61121,28.84,4430,173585,30.58,873,65343,71.71,1112,51.12,397
45895,72.75,21041,340557,52.18,1433,61074,28.95,3363,173596,30.71,22,64713,72.2,2278,51.45,139
45894,72.19,15152,338181,52.19,0,60963,28.81,1374,172306,30.57,6,64727,71.64,1249,51.43,0
45891,72.53,14896,337516,52.19,1198,60963,28.78,1576,172072,30.53,450,64721,71.97,1286,51.43,25
